inimitable actor
sovereign attendant
irish gentleman
four-toothed ewe
art man
only guide
renowned statesman
able physician
intrepid person
human engineer
comely lad
true seeker
sagacious sister
young questioner
french girl
bright feller
timid friend
skilled teacher
first settler
essential personage
once minister
dainty pioneer
young queen
little lad
dried bull
home-coming spouse
dumb friend
true sportsman
many fowl
rosy daughter
passionate youth
familiar robin
wonderful tree
spirited horse
cheap greaser
forked animal
thy fellow
other midshipman
large tree
handsome wife
endue man
norwegian king
fair slave
angular man
armed man
bald-headed stag
hired man
french colleague
loved companion
great willow
single individual
able-bodied inhabitant
hooded girl
unconscious woman
careless individual
black wrack
blind fellow
untidy fellow
own wife
own husband
high sheriff
heroic blacksmith
long-visaged boy
german creditor
ophthalmic bat
third dog
real comrade
eyeless man
excellent person
ould woman
compelling fellow
wild thyme
inferior magistrate
decent dog
constant attendant
venerable lawyer
english duke
bereaved brother
relentless father
fashionable dupe
wandering boy
eminent opponent
cunningest artist
ordinary child
real yankee
italian comedian
black squirrel
legal adviser
leading financier
busy coxcomb
am'rous beau
other brave
prospective bride
courteous guide
miserable boy
express rider
admirable sleeper
gallant horse
junior assistant
ordinary schoolboy
honest man
indian prince
permanent preceptor
first mover
speediest girl
other guide
future father
vile knave
fine lass
second man
ordinary swimmer
former wife
honest whore
glossy evergreen
old duffer
active mountaineer
quiet gentleman
maternal uncle
pernicious foreigner
great physician
english observer
long pig
spent runner
african slave
courteous keeper
russian ambassador
delightful talker
royal lady
genial deacon
interior decorator
mild thyme
noble representative
voluptuous native
mahomedan beggar
spoiled girl
soft pine
precise official
southern male
big official
illustrious person
two-faced friend
little guardian
nice boy
large buckskin
elegant creature
natural marksman
peaceful man
rum-looking fellow
good brother
boyish-looking man
young lawyer
hypercritical theorist
young soldier
old stager
soft-shell crab
competent observer
shaggy dog
stout fellow
destitute girl
beat ginger
wan mathematician
wounded man
upper servant
rotten reed
second member
monacan lodge
second native
white friar
mere commissioner
ill-favored man
savage woman
ungrateful girl
true son
genuine highness
fine horse
sorry fool
bashful boy
trusty squire
thrilling orator
veritable king
gothic steed
stout bachelor
youthful fool
drunken youth
submissive captive
latter gentleman
heavy pine
thirsty mountaineer
young horse
ancient female
learned doctor
late wife
little learner
| murderer
managing editor
tall brother
first ancestor
decent horse
american historian
common mother
wilful liar
old schoolmaster
attentive observer
last eve
exalted genius
reputed father
lebrun woman
such man
first favourite
little moke
principal officer
swedish woman
nominal owner
greedy ant
close kin
executive functionary
adventurous soldier
legal practitioner
elderly aunt
anxious cleric
tip-top man
full-souled man
strong-minded rascal
powerful fellow
port physician
distinguished man
merry lambkin
second dike
stout shepherd
french consul
miserable parent
inconsolable uncle
lame duck
constructive genius
worthy veteran
serious student
able sooner
foreign valet
vanquished midshipman
desperate brute
faithful pastor
lustful queen
tired guest
kind-hearted tyrant
oily female
patra tree
common friend
certain philosopher
poor beggar
personal lookout
sensual animal
strange caller
same author
moral embodiment
perfect man
untrodden heath
other stranger
widowed sister
intelligent gardener
old beau
new kid
cut-up bird
red pepper
grand turkey
fair inamorata
recent conqueror
little actress
old madman
miserable mother
large zebra
martial host
short scout
lanky boy
impertinent fellow
careless traveler
aye master
old husbandman
bearded man
experienced critic
great lout
healthy creature
naked child
fat lady
red-haired fool
happy maiden
great advocate
unfortunate person
rigid admirer
little midget
gallic slave
faithful reporter
liberal leader
transient guest
youthful knight
poor fellow
mad knave
terrible creature
vulpine cat
youthful paymaster
incomparable man
sorry rascal
potent individual
charming conversationalist
white carnation
princely lady
unaffected child
dead indian
cowardly prince
thy reverend
young alderman
gay lady
old shipmate
fair guide
gaunt dog
special guard
prime mover
ordinary man
sole author
smooth rascal
unsuspecting freshman
clever diplomatist
insane man
skilful ape
dressed individual
military-looking gentleman
thy horse
young judge
good instructor
interesting-looking creature
intimate member
true pig
bold girl
changed girl
so-called sinner
tall porter
benevolent gentleman
northern mother
strong chief
tiny boy
merry garland
casual listener
strong animal
weary bird
fragrant mulberry
inordinate glutton
dutiful son
young mother
patriotic statesman
humble follower
renowned necromancer
chief guide
striped peppermint
cynical analyst
handsome lad
great pilot
youthful aspirant
same fool
flower-besprinkled mead
young poet
celebrated friar
unprotected lamb
formidable bore
regular servant
former mistress
old rain-in-the-face
scantily-clad comrade
naval colleague
contemporary writer
graceful girl
dear sister
thy gaoler
prostrate man
celebrated buffalo
giant pasturage
like girl
unconscious man
willing stranger
same individual
clever-looking boy
same sister
first ward
insolent scoundrel
glorious courser
reckless madman
headstrong fellow
mirthful host
spanish lady
invaluable friend
high horse
aforesaid personage
patient husband
criminal barrister
pretty chambermaid
legible tell
fascinating pig
german-english cousin
ragged individual
woolly editor
constant patroness
little mountaineer
burly soldier
little silly
genial companion
early friend
other companion
free-hearted gentleman
beastly bully
ancient man
strange woman
yellow waitress
hollow chink
good-natured guide
loved lad
little nestling
sweet son
first baby
whole pepper
incessant applicant
white dove
genuine pirate
regular worker
rival warrior
fat porpoise
fond son
valiant animal
happy rival
little artist
huge tree
withered bracken
military genius
virile personage
little supporter
divorced person
red-faced gentleman
wilful lady
amusing companion
ingenuous student
good actor
peaceable citizen
august master
real genius
ailing man
middle-aged uncle
normal adult
grave president
italian plenipotentiary
german farmer
robust fellow
cross-eyed foe
inexperienced observer
stiff batter
christian scientist
young genius
proven man
black sheep
vivid corn
other lawyer
helpless youth
callow youth
republican deputy
vanished youth
ancient tree
obscure curate
american ivy
exceptional woman
real owner
picturesque reporter
genial pirate
old citizen
raw-boned fellow
true comrade
thy pitcher
jovial farmer
first straight
unburied officer
great prince
little sheep
filthy bird
want fish
mournful creature
appreciative observer
savage beast
fair-skinned girl
pleasant gentleman
fresh herb
self-respecting frog
virtuous widow
firm friend
leading marksman
mysterious personage
previous occupier
fit mate
old schoolmate
little banana
small animal
new-found friend
enthusiastic botanist
tired woman
licentious female
gray horse
fatuous friar
near kin
second cousin
well-known man
facetious colonel
rival sister
whole hog
old client
noble-spirited fellow
nay master
great financier
beefy burgher
impecunious native
worthy leader
acknowledged guardian
wealthy innkeeper
prime hack
mouldy mother
bereaved child
different man
italian philosopher
blue-eyed lady
great king
distinguished friend
impartial pedestrian
norwegian bum
silver-butted horse
immaculate white
average reader
religious officer
saturnalian prince
great charger
stunning lark
lubberly soldier
loyal man
virgin sister
green herbage
former rival
left guardian
base barbarian
green countryman
dried grass
prostrated victim
little visitor
beautiful female
little pony
hairy man
other singer
delightful incarnation
excellent horse
ancient mariner
poor indian
solitary knight
well-known writer
verdant grass
attractive-looking girl
mimic eagle
thoroughbred scout
political assassin
english moralist
faithful counsel
well-informed person
military attache
sweet girl
popular embodiment
fashionable wife
whole creature
fine-looking gentleman
normal woman
imperial beast
short grass
good companion
hostile serpent
old ruffian
ancient poet
great deer
young animal
ready-witted man
working engineer
impolite fellow
long-lost child
new companion
great embryologist
old merchant
old loafer
first king
her husband
rightful owner
plebeian host
inveterate theologian
well-known villa
foreign freak
square-shouldered man
wealthy spinster
amiable spouse
old slave
poor bird
respectable whig
aforesaid editor
young rogue
live fool
gentle maid
great fighter
dewy eve
bull-wagon boss
great wilding
noble woman
sidestep nobody
slumberous drone
regimental quartermaster
dry fern
vicious mare
enamoured swain
stable boy
first sweetheart
bronzed mariner
elderly gentleman
irish barrister
pampered favourite
young indian
other gentleman
thy dove
intoxicated man
proud captain
professional gambler
good uncle
single suitor
old mastiff
slim gentleman
eccentric child
pony-express rider
govern governor
whole fish
young captain
stubborn cow
foreign minister
old gentlewoman
leading member
dwarf evergreen
inveterate smoker
thoroughbred bull
utter stranger
funny person
fat woman
red-haired rat
informed gentleman
real child
principal mover
markovitch boy
jealous maniac
other feller
wonderful personage
formidable antagonist
noxious worm
great guide
old steward
young master
innocent brother
elected captain
little cutter
homely man
english peer
french observer
frail maiden
ugliest man
nice woman
unknown listener
swift bird
beloved physician
eager beast
ancient drunkard
audacious child
sun-kissed lotus
accomplished man
english teacher
infant child
elderly matron
young professor
beloved niece
canadian officer
judicious supporter
human father
veritable hog
pallid-cheeked gentleman
clean sheep
first caller
large moose
evil-disposed person
female gentleman
little philosopher
moire antique
like man
certain peer
colourless fungus
occasional horseman
right runner
poor sufferer
commercial man
eminent physician
quiet stranger
famous reader
energetic master
same player
american general
old messmate
dishonoured wife
facetious friend
great moose
wretched boy
shapeless monstrosity
public orator
brown bowler
english reader
noticeable man
wooden hulk
late visitor
small man
unheard-of person
great bridegroom
dark-eyed female
tall footman
gifted fellow
green cauliflower
young violinist
providential hack
wise benedict
impatient warrior
human genius
good citizen
magnificent chatelaine
decorous merchant
infant heir
red-faced woman
new passenger
care-worn man
untidy man
important personage
fresh horse
lusty fellow
illegitimate progeny
